vocabulary,ttf,df,idf
cancel,54,52,3.8715729355458786
busser,87,78,3.6954816764901977
a-uniqu,143,140,3.4409090820652177
half,2447,1975,2.278753600952829
back--,59,59,3.816241299991783
hall,51,51,3.8796692056320534
the-queso,54,52,3.8715729355458786
pretend,69,60,3.808885867359812
to-buy,99,97,3.5998830720736876
tea,560,449,2.9344984512435675
drunk,377,334,3.060697840353612
lunch-menu,98,92,3.6232492903979003
pick,1327,1217,2.4913616938342726
stumbl,148,145,3.424881636631067
great-deal,152,148,3.416640507338281
ten,225,213,3.2576785748691846
sake,182,163,3.374748346010104
the-hollandais,55,54,3.8549130223078554
have-found,88,87,3.6473829701146196
are-nt,639,610,2.7993405494535817
orlean,1243,1001,2.57978359661681
scratch,55,54,3.8549130223078554
new-restaur,65,63,3.788168371141168
savori,612,549,2.845098040014257
busi-night,79,78,3.6954816764901977
good-NUM,124,108,3.5538830266438746
the-typic,91,91,3.6283889300503116
malnati-chicago,76,72,3.7299742856995555
huevo,60,52,3.8715729355458786
hang,426,406,2.9777236052888476
to-serv,144,142,3.4345689040341987
the-idea,160,156,3.3944516808262164
roll,1113,866,2.6434526764861874
pronounc,69,66,3.767897616018091
turn,1063,975,2.591064607026499
best-wing,74,73,3.7234556720351857
result,183,174,3.346352974450639
gold,95,92,3.6232492903979003
thank-good,68,76,3.7067177823367587
a-recent,110,110,3.545307116465824
to-gaslight,118,105,3.5658478186735176
and-thin,52,52,3.8715729355458786
of-st,68,64,3.7810369386211318
flip,58,58,3.824125833916549
connect,68,64,3.7810369386211318
hand,1854,1702,2.342422680822206
were-perfect,257,252,3.184691430817599
piec,1799,1459,2.414973347970818
salt,1006,862,2.6434526764861874
the-goat,571,477,2.9084850188786495
the-road,62,62,3.795184589682424
we-paid,73,73,3.7234556720351857
had-lunch,67,66,3.767897616018091
and-scallion,53,52,3.8715729355458786
the-croqu,64,56,3.838849090737255
neighbor,234,214,3.255272505103306
blood,189,171,3.3541084391474008
straight,332,324,3.0755469613925306
big-portion,64,62,3.795184589682424
to-sushi,111,95,3.60959440922522
sale,57,57,3.8312296938670634
after-order,65,63,3.788168371141168
for-drink,327,310,3.093421685162235
tartufo,119,98,3.595496221825574
tho,89,86,3.6522463410033232
and-french,101,100,3.586587304671755
~,218,111,3.5415792439465807
was-bland,111,108,3.5538830266438746
of-dip,144,142,3.4345689040341987
is-perfect,329,322,3.0791812460476247
tie,72,69,3.7481880270062002
til,94,91,3.6283889300503116
i-call,210,190,3.307496037913213
tin,69,57,3.8312296938670634
and-head,79,79,3.6893088591236203
tip,989,893,2.633468455579586
multipl-time,86,85,3.6580113966571126
the-coffe,314,288,3.1271047983648077
laugh,210,200,3.285557309007774
fantast,2438,2189,2.230448921378274
roma,85,80,3.683947130751512
fri-pickl,199,166,3.367355921026019
chi,109,103,3.574031267727719
some-sort,263,251,3.187520720836463
but-damn,58,58,3.824125833916549
and-seat,125,125,3.4899584794248346
the-scene,77,76,3.7067177823367587
the-vegetarian,92,87,3.6473829701146196
poppi-seed,60,59,3.816241299991783
they-open,236,224,3.2355284469075487
gorgeous,155,149,3.413299764081252
the-awesom,92,89,3.637489729512511
subpar,55,54,3.8549130223078554
memphi,76,68,3.754348335711019
ensur,86,84,3.662757831681574
mexican-food,139,116,3.5224442335063197
ve-heard,216,212,3.2600713879850747
was-excel,854,821,2.6720978579357175
onli-serv,70,68,3.754348335711019
NUM-glass,67,66,3.767897616018091
root,119,110,3.545307116465824
pretti-pack,67,67,3.7611758131557314
croissant,169,134,3.459392487759231
salami,93,82,3.673020907128896
s-chicago,55,54,3.8549130223078554
whole-chicken,92,79,3.6893088591236203
i-enjoy,681,650,2.7708520116421442
and-tasti,428,417,2.9637878273455556
realli-impress,88,87,3.6473829701146196
NUM-order,129,117,3.5185139398778875
crab-claw,70,62,3.795184589682424
from-NUM-NUM,52,52,3.8715729355458786
fluffi,314,299,3.110589710299249
room,1816,1574,2.380211241711606
energi,208,203,3.278753600952829
their-fri,275,261,3.1702617153949575
beef-tenderloin,53,52,3.8715729355458786
gorgonzola,122,107,3.5575072019056577
chees-pizza,65,62,3.795184589682424
this-menu,56,56,3.838849090737255
menu--,13,101,3.583198773968623
goos,64,63,3.788168371141168
extra-NUM,60,59,3.816241299991783
empti,634,583,2.8195439355418688
there-NUM,65,63,3.788168371141168
fountain,63,59,3.816241299991783
and-atmospher,187,186,3.3180633349627615
pile,228,215,3.2528530309798933
expos,96,93,3.6190933306267428
by-NUM,84,83,3.66838591669
our-choic,55,54,3.8549130223078554
garlicki,87,85,3.6580113966571126
gosh,55,54,3.8549130223078554
this-review,497,481,2.9030899869919438
the-plain,74,61,3.802089257881733
second-floor,62,59,3.816241299991783
were-surpris,55,55,3.846955325019824
brunch-spot,102,99,3.591064607026499
